diag: sift_base — 100000 vectors, dim 128, bits 3, seed 42
  external queries: 200 from data/sift/sift_query.fvecs
# Estimator-variance diagnostic — sift_base

- dim **128**, db **100000**, queries **100**, seed **42**
- `g=⟨ō,o⟩` recon-to-truth cosine; `κ=√((1−g²)/g²)`; `σ_pred=κ/√(D−1)` (RaBitQ Thm-3.2 per-pair std); `σ_emp`=std(estimate−exact)

| backend | bits | M | mean g | κ | σ_pred | σ_emp | bias | recon MSE |
|---|---|---|---|---|---|---|---|---|
| turboquant_baseline | 3 | 0 | 0.9527 | 0.3040 | 0.02698 | 0.02300 | -0.02163 | 0.03965 |
| turboquant_residual | 3 | 0 | — | — | — | 0.03823 | -0.05111 | — |
| rabitq | 3 | 0 | 0.9792 | 0.2061 | 0.01829 | 0.01710 | -0.00209 | 0.04164 |
| trellis | 3 | 12 | 0.9918 | 0.1284 | 0.01140 | 0.01005 | +0.00000 | 0.01631 |
| pvq | 3 | 0 | 0.9859 | 0.1684 | 0.01494 | 0.01309 | -0.00069 | 0.02820 |
| eden | 3 | 0 | 0.9802 | 0.2006 | 0.01780 | 0.01689 | -0.00192 | 0.03953 |
| blockquant | 3 | 0 | 0.9863 | 0.1667 | 0.01479 | 0.01315 | -0.00028 | 0.02732 |

→ wrote <scratch-directory>/diag-sift_base-m12-b3.md
